,MSE,r2_score,MAPE
TMO,1.0991468898741826e-05,0.999793720155441,0.000496127572201425
ABT,1.7260266462502153e-05,0.9998737388429647,0.0004605332782994394
HD,1.4911265269333997e-05,0.9999157104333194,0.0004583194817951775
MCD,2.149241132131726e-05,0.9999458433782189,0.0004148113813823173
PG,1.3781723350213275e-05,0.9999320078169686,0.0003763830633019484
CAT,1.2975108387452624e-05,0.9998778594567141,0.0005500496792183557
DIS,2.5595512891913837e-05,0.9997630611003622,0.000591354361263441
CCI,9.540318713210129e-06,0.9999408366645754,0.0004335378620831217
JNJ,1.5597530379314964e-05,0.9999256155723609,0.0003898053856301944
KO,1.6828087125364973e-05,0.999949768904431,0.00040603126596968606
BA,1.7877967672160478e-05,0.9999504325540436,0.00095790731012952
LLY,4.880657091413721e-05,0.9988417956843216,0.0005862772992646479
BDX,1.9624361081245264e-05,0.999879062680181,0.0004468831406511324
FISV,1.702546182684549e-05,0.9998687096541519,0.0005079403058836127
BMY,1.7126064754120806e-05,0.9998562529159294,0.0004280742331202489
TXN,9.079026438630596e-06,0.9998806029801687,0.0004774830434295983
CVS,2.4855683073394612e-05,0.9997892477281015,0.0004792897910962778
MMM,1.3346099139512323e-05,0.9999118164552161,0.0004631867732620328
PFE,1.6732058811161648e-05,0.999752600298077,0.000505093302963256
GS,1.1160501762694753e-05,0.9999007207225671,0.0005219949901139324
CL,1.3647751253810173e-05,0.999928084000177,0.0003746241202475193
LMT,4.228067766586809e-05,0.9997176366176092,0.0004774190457691855
NFLX,0.0003025352591879652,0.9990156609174643,0.0012791078325549293
UPS,4.871544307844075e-05,0.9991460457166254,0.000563733894358928
BSX,2.572215906519379e-05,0.9998852052012,0.0005432719145943948
XOM,1.3168751796814362e-05,0.9998716842064712,0.0006096873953642701
MO,3.299995383637285e-05,0.9997986964953222,0.0004933009030127533
SBUX,2.1529734405366493e-05,0.9998872484281729,0.0005398140333688427
COP,1.5998622303590252e-05,0.9999143871403998,0.0007705379827955127
WFC,1.147357760230407e-05,0.9999107618828436,0.0006322132986515145
PM,1.709154734977416e-05,0.9999324622318445,0.0004614604615672657
PEP,1.4388188552390119e-05,0.9999493188214269,0.0003816363332538639
LOW,1.882161428031974e-05,0.9998739775375255,0.0005360873146977222
TGT,0.00023072904309690204,0.9991191262849555,0.0007632021002367288
CI,4.196006013529392e-05,0.9998057536395082,0.0005896929648220334
CME,2.0539229819324278e-05,0.9999265176468014,0.00047528136618081606
GE,3.389176095433064e-05,0.9998089351379189,0.0007881188224861057
NVDA,1.5522013288563776e-05,0.9998254470095509,0.0009260453566084074
HON,1.4307102360561803e-05,0.9999549188305853,0.00047584669938316616
GOOG,1.733104287272927e-05,0.9998206180719358,0.0005494000294014292
C,1.7119770542793573e-05,0.9999421759231745,0.000638953704891276
MSFT,1.0282852565417069e-05,0.9999187906187206,0.0004818731191965156
PNC,1.4090697289666337e-05,0.9999243683300134,0.0005403417874250663
AAPL,9.040411284399773e-06,0.9999132635570331,0.0005094333359643658
D,1.5082853455953833e-05,0.9999537425562928,0.0004193811649740206
SCHW,2.505398116348289e-05,0.999757919517212,0.0006870985637841376
MS,1.1631673875217362e-05,0.9999230756197897,0.0005711341014606339
ADBE,2.3275025105947154e-05,0.9997720613356915,0.0006357571424480887
QCOM,2.477176337665435e-05,0.9997110845635181,0.0006843886032262416
UNP,1.8722241383000395e-05,0.9999073964795288,0.00048783568980479005
CSX,1.3890949598543018e-05,0.9999244863642958,0.00048400366334970556
CMCSA,1.8220014411772674e-05,0.9998203030180909,0.0004785176371493654
MRK,3.268684236305084e-05,0.9996171756972464,0.00045720039561260756
ISRG,2.4976406968885223e-05,0.9997819410037231,0.0006113543069900336
V,1.860255288351715e-05,0.9998739926335811,0.000500644653400202
CSCO,8.287028141346086e-05,0.9995022031931949,0.0005648138337269091
VZ,2.2897353656293423e-05,0.9998911416560297,0.0004027677442601243
SYK,1.9429721440567256e-05,0.9999120516810645,0.000530084114352577
ACN,2.32755724451936e-05,0.9998744453210414,0.0004960938691897955
DHR,2.883374639355438e-05,0.9995708452325307,0.0005052502468248817
MA,1.8889863385342676e-05,0.999882221235753,0.0005668695628569985
NKE,3.701423105337737e-05,0.9996190829098681,0.0006006395744085943
MDT,2.1419248395339812e-05,0.999866870252579,0.0004737094428789969
INTC,4.674757682303095e-05,0.9994981149819,0.0007050705555145578
BRK.B,1.3882360381036851e-05,0.9999290529811409,0.0003856589986657654
CVX,2.100066856569539e-05,0.999912917097347,0.0006037685269169062
DUK,1.0370558560786564e-05,0.9999647438989324,0.0003992691763106172
TJX,2.6802884796305652e-05,0.9998903319307367,0.0005937935774337381
BLK,1.3230644585859486e-05,0.9999418136511776,0.0005148279284037144
GILD,2.085344106161086e-05,0.999901927653851,0.0004639685914105713
MU,9.1329263200217e-06,0.999862392892068,0.0007494672993969391
SO,1.097703883018595e-05,0.9999688054195057,0.00040467416295741237
AMT,1.1268541584698137e-05,0.9999444524401595,0.0004604738840930481
ORCL,4.842690154485193e-05,0.9992029476832761,0.0005549530229093448
AMZN,2.8387120389096388e-05,0.9998490531946124,0.0006527648069500838
FIS,5.02558452775091e-05,0.9996487641359492,0.000613407635000532
T,0.0001972035373366408,0.9988503533781172,0.0006098422811481832
UNH,1.879543814171661e-05,0.9999220393627141,0.00048697848435101004
BAC,1.5188706751268043e-05,0.9999115678843438,0.0005821971514488573
JPM,1.682307231135767e-05,0.9999173973421516,0.0005401774993832358
USB,1.9092998451419778e-05,0.9998980498223716,0.000576790020548985
CRM,7.242517562535977e-05,0.999411494488691,0.0007514732295618997
VRTX,6.752530534069303e-05,0.99964102593135,0.0005630823991061154
COST,2.317376350120753e-05,0.9998446530637886,0.00043004472975468217
IBM,3.4959272783289286e-05,0.9998009044756851,0.0005012481654766676
ADP,2.0269218987355442e-05,0.9999184539394019,0.0004584200720681481
AVGO,1.4979048738889962e-05,0.9999204100220263,0.0005729002821873577
WMT,5.135647650401138e-05,0.9997106612999129,0.0004478854069585992
AMGN,2.1599507525413824e-05,0.9998345700121308,0.00047000271468925024
INTU,1.4707672865581227e-05,0.9998435310869377,0.0005765961463659753
AXP,3.836423816607201e-05,0.9997887237174146,0.0006557874489371195
MMC,1.325963626025421e-05,0.999937394803705,0.00041095357004549245
CB,1.1193900919320592e-05,0.9999596172064708,0.0004647150014186673
